Date/Time,Status
Dec 15 2020 - 3:25 PM EST,Walmart - Console Out of Stock
Dec 15 2020 - 3:21 PM EST,Walmart - Console In Stock for $499.00
Dec 15 2020 - 3:18 PM EST,Walmart - Console Out of Stock
Dec 15 2020 - 3:11 PM EST,Walmart - Console In Stock for $499.00
Dec 15 2020 - 3:05 PM EST,Walmart - Console Out of Stock
Dec 15 2020 - 3:03 PM EST,Walmart - Console In Stock for $499.00
Dec 15 2020 - 1:20 AM EST,Sam's Club - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock
Dec 15 2020 - 1:15 AM EST,Sam's Club - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.98
Dec 12 2020 - 6:17 PM EST,GameStop - Console In Stock for $499.99
Dec 11 2020 - 5:09 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 11 2020 - 4:53 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 11 2020 - 4:51 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 11 2020 - 4:49 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 10 2020 - 6:23 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 10 2020 - 6:18 PM EST,Playstation Direct - Console Out of Stock
Dec 10 2020 - 6:15 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 10 2020 - 6:14 PM EST,Playstation Direct - Console Out of Stock
Dec 10 2020 - 6:13 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 10 2020 - 6:11 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 10 2020 - 6:03 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 10 2020 - 6:00 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 10 2020 - 5:35 PM EST,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock
Dec 10 2020 - 5:31 PM EST,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99
Dec 10 2020 - 4:11 PM EST,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock
Dec 10 2020 - 4:03 PM EST,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99
Dec 09 2020 - 3:52 PM EST,Playstation Direct - Console Out of Stock
Dec 09 2020 - 3:36 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 09 2020 - 3:34 PM EST,Playstation Direct - Console Out of Stock
Dec 09 2020 - 3:30 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 09 2020 - 6:18 AM EST,Target - Console Out of Stock
Dec 09 2020 - 6:15 AM EST,Target - Console In Stock for $?
Dec 08 2020 - 6:30 PM EST,Playstation Direct - Console Out of Stock
Dec 08 2020 - 6:17 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 08 2020 - 4:18 PM EST,antOnline - Bundle: Console w/Extra Controller/Spider-Man/Demon's Souls/Sackboy/GoTsu Out of Stock
Dec 04 2020 - 4:35 PM EST,Playstation Direct - Console Out of Stock
Dec 04 2020 - 4:28 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 04 2020 - 4:26 PM EST,Playstation Direct - Console Out of Stock
Dec 04 2020 - 4:15 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 03 2020 - 5:46 PM EST,Playstation Direct - Console Out of Stock
Dec 03 2020 - 5:44 PM EST,Playstation Direct - Console In Stock for $499.99
