Date/Time_Start,Status,Price,Date,Site_Start,Type_Start,Edition_Start,Site_End,Type_End,Edition_End,Date/Time_End
2020-12-15 01:15:00,Sam's Club - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.98,639.98,2020-12-15,Sam's Club,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.98,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,Sam's Club,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,2020-12-15 01:20:00
2020-12-11 16:53:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-11,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-11 17:09:00
2020-12-11 16:51:00,Playstation Direct - Console Digital Edition Out of Stock,,2020-12-11,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-12-11 16:53:00
2020-12-11 16:49:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-11,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-11 16:51:00
2020-12-10 18:23:00,Playstation Direct - Console Digital Edition Out of Stock,,2020-12-10,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-12-11 16:49:00
2020-12-10 18:15:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-10,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-10 18:18:00
2020-12-10 18:14:00,Playstation Direct - Console Out of Stock,,2020-12-10,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-10 18:15:00
2020-12-10 18:11:00,Playstation Direct - Console Digital Edition Out of Stock,,2020-12-10,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-12-10 18:13:00
2020-12-10 18:03:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-10,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-10 18:11:00
2020-12-10 17:31:00,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,639.99,2020-12-10,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,2020-12-10 17:35:00
2020-12-10 16:11:00,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,,2020-12-10,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,2020-12-10 17:31:00
2020-12-10 16:03:00,Costco - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,639.99,2020-12-10,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow In Stock for $639.99,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,Costco,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock,Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow,2020-12-10 16:11:00
2020-12-09 15:36:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-09,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-09 15:52:00
2020-12-09 15:34:00,Playstation Direct - Console Out of Stock,,2020-12-09,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-09 15:36:00
2020-12-09 15:30:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-09,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-09 15:34:00
2020-12-09 06:15:00,Target - Console In Stock for $?,,2020-12-09,Target,Console In Stock for $?,Console,Target,Console Out of Stock,Console,2020-12-09 06:18:00
2020-12-08 18:17:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-08,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-08 18:30:00
2020-12-04 16:28:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-04,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-04 16:35:00
2020-12-04 16:26:00,Playstation Direct - Console Out of Stock,,2020-12-04,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-04 16:28:00
2020-12-04 16:15:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-04,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-04 16:26:00
2020-12-03 17:46:00,Playstation Direct - Console Out of Stock,,2020-12-03,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-04 16:15:00
2020-12-03 17:44:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-03,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-03 17:46:00
2020-12-03 17:43:00,Playstation Direct - Console Out of Stock,,2020-12-03,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-03 17:44:00
2020-12-03 17:41:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-03,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-03 17:43:00
2020-12-03 17:39:00,Playstation Direct - Console Out of Stock,,2020-12-03,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-12-03 17:41:00
2020-12-03 17:34:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-12-03,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-12-03 17:39:00
2020-12-03 07:24:00,Target - Console Digital Edition In Stock for $?,,2020-12-03,Target,Console Digital Edition In Stock for $?,Console Digital Edition,Target,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-03 07:27:00
2020-11-30 18:30:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-30,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-30 18:41:00
2020-11-30 18:28:00,Playstation Direct - Console Out of Stock,,2020-11-30,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-11-30 18:30:00
2020-11-30 18:17:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-30,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-30 18:28:00
2020-11-27 17:16:00,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,644.99,2020-11-27,GameStop,Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,Bundle: Digital Edition Black Friday System Bundle,GameStop,Bundle: Digital Edition Black Friday System Bundle Out of Stock,Bundle: Digital Edition Black Friday System Bundle,2020-11-27 17:18:00
2020-11-27 17:12:00,GameStop - Bundle: Digital Edition Black Friday System Bundle Out of Stock,,2020-11-27,GameStop,Bundle: Digital Edition Black Friday System Bundle Out of Stock,Bundle: Digital Edition Black Friday System Bundle,GameStop,Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,Bundle: Digital Edition Black Friday System Bundle,2020-11-27 17:16:00
2020-11-27 17:10:00,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,644.99,2020-11-27,GameStop,Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,Bundle: Digital Edition Black Friday System Bundle,GameStop,Bundle: Digital Edition Black Friday System Bundle Out of Stock,Bundle: Digital Edition Black Friday System Bundle,2020-11-27 17:12:00
2020-11-27 16:37:00,GameStop - Bundle: Digital Edition Black Friday System Bundle Out of Stock,,2020-11-27,GameStop,Bundle: Digital Edition Black Friday System Bundle Out of Stock,Bundle: Digital Edition Black Friday System Bundle,GameStop,Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,Bundle: Digital Edition Black Friday System Bundle,2020-11-27 16:55:00
2020-11-27 16:35:00,GameStop - Bundle: Black Friday System Bundle In Stock for $804.99,804.99,2020-11-27,GameStop,Bundle: Black Friday System Bundle In Stock for $804.99,Bundle: Black Friday System Bundle,GameStop,Bundle: Black Friday System Bundle Out of Stock,Bundle: Black Friday System Bundle,2020-11-27 16:37:00
2020-11-27 16:33:00,GameStop - Bundle: Black Friday System Bundle Out of Stock,,2020-11-27,GameStop,Bundle: Black Friday System Bundle Out of Stock,Bundle: Black Friday System Bundle,GameStop,Bundle: Black Friday System Bundle In Stock for $804.99,Bundle: Black Friday System Bundle,2020-11-27 16:35:00
2020-11-27 16:31:00,GameStop - Bundle: Black Friday System Bundle In Stock for $804.99,804.99,2020-11-27,GameStop,Bundle: Black Friday System Bundle In Stock for $804.99,Bundle: Black Friday System Bundle,GameStop,Bundle: Black Friday System Bundle Out of Stock,Bundle: Black Friday System Bundle,2020-11-27 16:33:00
2020-11-27 16:01:00,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,644.99,2020-11-27,GameStop,Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99,Bundle: Digital Edition Black Friday System Bundle,GameStop,Bundle: Digital Edition Black Friday System Bundle Out of Stock,Bundle: Digital Edition Black Friday System Bundle,2020-11-27 16:29:00
2020-11-25 19:54:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-11-25,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-25 20:06:00
2020-11-23 23:51:00,GameStop - Bundle: Ultimate Gamer System In Stock for $854.99,854.99,2020-11-23,GameStop,Bundle: Ultimate Gamer System In Stock for $854.99,Bundle: Ultimate Gamer System,GameStop,Bundle: Ultimate Gamer System Out of Stock,Bundle: Ultimate Gamer System,2020-11-24 00:08:00
2020-11-23 23:04:00,GameStop - Bundle: Demon's Souls and Spider-Man System In Stock for $759.99,759.99,2020-11-23,GameStop,Bundle: Demon's Souls and Spider-Man System In Stock for $759.99,Bundle: Demon's Souls and Spider-Man System,GameStop,Bundle: Demon's Souls and Spider-Man System Out of Stock,Bundle: Demon's Souls and Spider-Man System,2020-11-23 23:19:00
2020-11-23 22:27:00,GameStop - Bundle: Demon's Souls and Spider-Man System Out of Stock,,2020-11-23,GameStop,Bundle: Demon's Souls and Spider-Man System Out of Stock,Bundle: Demon's Souls and Spider-Man System,GameStop,Bundle: Demon's Souls and Spider-Man System In Stock for $759.99,Bundle: Demon's Souls and Spider-Man System,2020-11-23 22:34:00
2020-11-23 22:24:00,GameStop - Bundle: Demon's Souls and Spider-Man System In Stock for $759.99,759.99,2020-11-23,GameStop,Bundle: Demon's Souls and Spider-Man System In Stock for $759.99,Bundle: Demon's Souls and Spider-Man System,GameStop,Bundle: Demon's Souls and Spider-Man System Out of Stock,Bundle: Demon's Souls and Spider-Man System,2020-11-23 22:27:00
2020-11-23 22:20:00,GameStop - Bundle: Games and Accessories System Out of Stock,,2020-11-23,GameStop,Bundle: Games and Accessories System Out of Stock,Bundle: Games and Accessories System,GameStop,Bundle: Games and Accessories System In Stock for $804.99,Bundle: Games and Accessories System,2020-11-23 22:23:00
2020-11-23 22:11:00,GameStop - Bundle: Ultimate Gamer System In Stock for $854.99,854.99,2020-11-23,GameStop,Bundle: Ultimate Gamer System In Stock for $854.99,Bundle: Ultimate Gamer System,GameStop,Bundle: Ultimate Gamer System Out of Stock,Bundle: Ultimate Gamer System,2020-11-23 22:16:00
2020-11-23 21:37:00,GameStop - Bundle: Ultimate Gamer System In Stock for $854.99,854.99,2020-11-23,GameStop,Bundle: Ultimate Gamer System In Stock for $854.99,Bundle: Ultimate Gamer System,GameStop,Bundle: Ultimate Gamer System Out of Stock,Bundle: Ultimate Gamer System,2020-11-23 21:41:00
2020-11-22 06:24:00,Best Buy - Console Digital Edition In Stock for $399.99,399.99,2020-11-22,Best Buy,Console Digital Edition In Stock for $399.99,Console Digital Edition,Best Buy,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-22 06:36:00
2020-11-20 11:50:00,Target - Console Digital Edition In Stock for $?,,2020-11-20,Target,Console Digital Edition In Stock for $?,Console Digital Edition,Target,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-20 11:56:00
2020-11-19 16:49:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-19,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-19 16:51:00
2020-11-19 16:33:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-11-19,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-19 16:46:00
2020-11-19 14:03:00,GameStop - Bundle: Digital Accessories & System Bundle In Stock for $689.99,689.99,2020-11-19,GameStop,Bundle: Digital Accessories & System Bundle In Stock for $689.99,Bundle: Digital Accessories & System Bundle,GameStop,Bundle: Digital Accessories & System Bundle Out of Stock,Bundle: Digital Accessories & System Bundle,2020-11-19 14:21:00
2020-11-18 18:35:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-18,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-18 18:46:00
2020-11-18 02:10:00,Target - Console In Stock for $?,,2020-11-18,Target,Console In Stock for $?,Console,Target,Console Out of Stock,Console,2020-11-18 02:19:00
2020-11-17 14:34:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-17,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-17 14:50:00
2020-11-16 10:15:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-11-16,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-16 10:31:00
2020-11-13 17:57:00,Playstation Direct - Console Out of Stock,,2020-11-13,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-11-16 10:14:00
2020-11-13 17:53:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-13,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-13 17:57:00
2020-11-13 17:21:00,Playstation Direct - Console Out of Stock,,2020-11-13,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-11-13 17:53:00
2020-11-13 17:19:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-13,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-13 17:21:00
2020-11-13 17:15:00,Playstation Direct - Console Out of Stock,,2020-11-13,Playstation Direct,Console Out of Stock,Console,Playstation Direct,Console In Stock for $499.99,Console,2020-11-13 17:19:00
2020-11-13 17:13:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-13,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-13 17:15:00
2020-11-13 16:56:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-11-13,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-13 17:01:00
2020-11-13 16:24:00,Playstation Direct - Console In Stock for $499.99,499.99,2020-11-13,Playstation Direct,Console In Stock for $499.99,Console,Playstation Direct,Console Out of Stock,Console,2020-11-13 16:30:00
2020-11-12 21:00:00,Walmart - Console Digital Edition In Stock for $399.00,399.0,2020-11-12,Walmart,Console Digital Edition In Stock for $399.00,Console Digital Edition,Walmart,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-12 21:02:00
2020-11-12 18:18:00,Amazon - Console Digital Edition In Stock for $399.99,399.99,2020-11-12,Amazon,Console Digital Edition In Stock for $399.99,Console Digital Edition,Amazon,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-12 18:21:00
2020-11-12 18:14:00,Amazon - Console Digital Edition Out of Stock,,2020-11-12,Amazon,Console Digital Edition Out of Stock,Console Digital Edition,Amazon,Console Digital Edition In Stock for $399.99,Console Digital Edition,2020-11-12 18:18:00
2020-11-12 18:14:00,Amazon - Console Digital Edition In Stock for $399.99,399.99,2020-11-12,Amazon,Console Digital Edition In Stock for $399.99,Console Digital Edition,Amazon,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-12 18:14:00
2020-11-12 18:03:00,Walmart - Console Out of Stock,,2020-11-12,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-11-12 18:03:00
2020-11-12 18:02:00,Walmart - Console In Stock for $499.00,499.0,2020-11-12,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-11-12 18:03:00
